Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade,Diferença
CL9835,27/02/2015,5º ano,Alípio de Melo,2025-01-14,2025-01-18,Matrícula nova,"65,00%",7.718,4
CL9850,20/07/2021,Infantil 3 bilíngue,Mais Pampulha,2024-08-13,2024-08-27,Matrícula nova,"54,00%",22.984,14
CL9857,01/08/2024,Infantil 0,Carajás,2025-01-14,2025-01-16,Matrícula nova,"100,00%",0.0,2
CL9858,29/01/2019,1º ano bilíngue,Mais Buritis,2024-08-21,2024-09-02,Matrícula nova,"65,00%",19.49,12
CL9862,03/09/2014,5º ano,Alípio de Melo,2024-08-23,2024-09-21,Matrícula nova,"37,00%",15.497,29
CL9885,12/5/2018,1º ano,Lagoa Santa,2024-12-04,2024-12-20,Matrícula nova,"45,00%",13.773,16
CL9899,01/02/2020,Infantil 5,Santa Amélia,2024-11-11,2024-11-13,Matrícula nova,"55,00%",10.845,2
CL9905,18/07/2018,1º ano,Alípio de Melo,2024-10-24,2024-11-11,Matrícula nova,"60,00%",10.024,18
CL9940,08/02/2018,2º ano,Lagoa Santa,2025-01-15,2025-01-15,Matrícula nova,"55,00%",11.038,0
CL9966,29/6/2015,4º ano,Alípio de Melo,2024-10-10,2024-11-19,Matrícula nova,"56,00%",11.106,40
CL9979,9/7/2014,5º ano bilíngue,Lagoa Santa,2024-08-16,2024-12-20,Matrícula nova,"43,00%",14.421,126
CL9987,11/04/2017,2º ano,Nova Suíça,2024-10-14,2024-10-24,Matrícula nova,"100,00%",0.0,10
CL9991,18/05/2017,3º ano,Carlos Prates,2024-11-13,2024-11-25,Matrícula nova,"50,00%",12.53,12
